influencer_id,platform,date,URL,caption,reach,likes,comments
62,Instagram,2025-05-06,http://cox.com/,Statement certain camera represent can relate tell brother defense.,9479,83,15
23,YouTube,2025-06-09,https://perez.com/,Allow church next TV budget system book hard face.,3928,19,15
9,Instagram,2025-05-10,http://romero.net/,Check he yard field magazine social central operation any thus.,8926,493,4
12,YouTube,2025-03-18,http://anderson.org/,Democratic standard major business give that individual.,6749,465,9
1,YouTube,2025-03-16,http://jenkins.com/,Finally laugh full help strong street car catch PM seven.,6791,63,19
58,YouTube,2025-04-07,https://bowers.info/,Chance road become person perhaps hold too fund animal.,4317,61,17
1,YouTube,2025-06-17,http://valentine.com/,Save position tend religious occur someone religious night buy.,5374,157,11
34,YouTube,2025-06-05,https://montoya.com/,Be western my serious whatever miss seek me affect probably.,5711,169,9
96,Twitter,2025-06-13,https://www.castillo.net/,Conference affect skill early relationship thought know southern parent I.,2161,379,10
48,Instagram,2025-06-17,http://hines.info/,Man value future Congress agency.,4874,23,18
89,Twitter,2025-03-26,http://potts.info/,Fish either boy between collection century eight bed fill imagine.,1707,187,13
1,Instagram,2025-03-31,https://www.brown-shaw.com/,Arrive which consider require fear better.,4165,421,8
16,Twitter,2025-03-13,https://www.walker-flores.com/,Include food heart still building dark.,3993,375,7
61,YouTube,2025-06-03,https://www.johnson.com/,Only manage sell his boy art let imagine machine imagine.,8313,62,17
64,Instagram,2025-06-15,https://smith.com/,Trial affect never only big several prepare.,2132,417,15
63,Instagram,2025-04-19,https://www.young-martinez.com/,Fight image base player data whose.,4583,344,15
69,Twitter,2025-05-15,https://rodriguez.org/,Music collection early weight which new among spend.,5219,31,1
22,Twitter,2025-03-19,http://www.thomas.com/,Eye will a value lot our style herself goal place one.,8623,39,14
93,Instagram,2025-06-21,https://www.barnett.net/,Example claim move attorney bed recognize store rise your there.,3179,200,5
67,Twitter,2025-06-13,http://williams-hughes.com/,Particular whatever five radio garden end.,1736,269,11
76,Twitter,2025-06-27,https://www.kramer-cooper.com/,Event production focus decision where foreign trial card two.,8946,214,16
26,Twitter,2025-06-07,https://www.bell.com/,Live top pull including time reflect several Mrs skin power.,5943,68,2
16,YouTube,2025-06-15,https://white.info/,Much throughout staff knowledge but.,8270,480,8
51,YouTube,2025-03-03,http://williams.com/,Still group concern should recent across leg view.,7599,273,11
86,Twitter,2025-05-29,https://sanders.com/,Act sea serve quite remember course staff personal space.,3868,475,18
