source,campaign,influencer_id,user_id,product,date,orders,revenue
PromoCode,GritzoKidsRun,1,8bf63e19-c889-44e7-89ef-10888ab72eb9,Creatine,2025-06-14,1,164.85
PromoCode,HKFitBlast,1,e465aed7-207a-41d4-a888-c573f3fd80f2,Omega 3,2025-06-20,1,123.36
BioLink,HKFitBlast,1,08ae64bb-cc62-4748-94b4-a8a6d9d2c703,Creatine,2025-06-24,1,109.2
BioLink,HKFitBlast,1,a98d61ec-3ad4-4c9a-bac9-7a02b1195d16,Whey Protein,2025-06-10,1,119.74
SwipeUp,HKFitBlast,1,99252280-b81c-443b-b99a-36206ee2f9bf,Multivitamin,2025-05-26,1,122.51
SwipeUp,HKFitBlast,1,4ab7d5e0-f814-4f2e-81e2-6ceb40328c40,Multivitamin,2025-05-18,1,91.12
PromoCode,GritzoKidsRun,1,5674e177-9b08-425e-a1ea-f0f24c52b95c,Omega 3,2025-06-11,1,196.04
PromoCode,MBProteinPush,1,a127f663-8db4-4aaa-831f-e8849c174363,Whey Protein,2025-03-08,1,171.85
SwipeUp,MBProteinPush,1,73ad562d-58c6-4877-8897-c6e21581f33e,Whey Protein,2025-05-15,1,169.85
PromoCode,MBProteinPush,1,cf6d28c3-f661-4fdb-b537-fb1681edceb3,Omega 3,2025-05-30,1,137.74
SwipeUp,HKFitBlast,1,70fff474-a7a3-408e-b1fd-e4de092a2783,Creatine,2025-03-12,1,248.4
BioLink,GritzoKidsRun,1,e52b9187-3c3b-4ed7-add5-b752ec7448f9,Multivitamin,2025-05-05,1,271.54
BioLink,HKFitBlast,1,322c519f-7a44-467a-a3f7-8edf72948c64,Multivitamin,2025-05-05,1,247.0
SwipeUp,HKFitBlast,1,06b63727-2fcf-4246-a81f-3e5bf8dc2c64,Omega 3,2025-06-22,1,216.05
SwipeUp,HKFitBlast,1,c7be5406-6165-4f34-865f-d96b73b6b143,Whey Protein,2025-03-10,1,223.88
SwipeUp,HKFitBlast,1,a0b8bebf-b82b-4b93-9040-4bf39d30b0f7,Whey Protein,2025-05-20,1,279.16
PromoCode,HKFitBlast,1,883e153f-9c45-4443-beb1-a6f4761eb3ac,Creatine,2025-04-29,1,221.77
BioLink,GritzoKidsRun,1,9fa6f3ea-db65-48d6-a660-f73f8abefd88,Multivitamin,2025-05-09,1,127.58
BioLink,HKFitBlast,1,b7f23862-7f4a-4544-817c-781a6fbc2464,Omega 3,2025-06-11,1,113.3
BioLink,GritzoKidsRun,1,51f323e6-2126-480a-9586-cc32d64894cd,Omega 3,2025-05-02,1,130.69
SwipeUp,MBProteinPush,1,bff090b9-fe83-4c51-be70-b30932371f14,Whey Protein,2025-03-05,1,336.45
PromoCode,HKFitBlast,1,ae7ae52a-5179-45b7-883a-5ef5a4afade6,Whey Protein,2025-05-03,1,240.52
BioLink,MBProteinPush,1,aeadc03f-2fad-4d7e-a4bf-a846660a3bdb,Whey Protein,2025-05-15,1,289.75
SwipeUp,HKFitBlast,1,b20c651e-0d47-4c01-9e61-df623ccb9897,Whey Protein,2025-04-02,1,187.49
PromoCode,HKFitBlast,1,de2752ba-e50c-47d4-a9df-bb1d07a7611d,Whey Protein,2025-04-13,1,203.64
SwipeUp,MBProteinPush,1,ba49ccd5-6185-4b1a-a3e1-2924fe95c8c9,Creatine,2025-05-14,1,118.39
BioLink,HKFitBlast,1,09cf1063-91b6-4a01-b4e6-0f83af844b8f,Creatine,2025-03-04,1,129.45
SwipeUp,HKFitBlast,1,e6571d38-4793-4cb1-aafc-c87e1ff49019,Multivitamin,2025-05-05,1,262.02
SwipeUp,HKFitBlast,1,da3c3beb-57b6-427c-bf18-d74ac743d9f1,Omega 3,2025-04-15,1,187.8
BioLink,GritzoKidsRun,1,8609a880-ef29-40f7-aebb-fe0a404f04e4,Omega 3,2025-04-17,1,138.83
SwipeUp,GritzoKidsRun,1,23ee4016-3234-45b1-a4e1-934097f5d628,Creatine,2025-04-12,1,282.29
SwipeUp,MBProteinPush,1,2f894e9b-4b4e-42fd-9c83-e2d2d0b2b078,Omega 3,2025-05-17,1,120.81
PromoCode,MBProteinPush,1,aefb886b-2212-4446-b39e-ab73a24a7b89,Multivitamin,2025-05-04,1,294.73
BioLink,HKFitBlast,1,ca1ef8d9-44ed-4acf-98c4-2832937838f9,Creatine,2025-04-17,1,171.45
SwipeUp,HKFitBlast,1,f0cb8112-ddc5-4228-b8e1-e998ddca9cc3,Multivitamin,2025-03-24,1,154.21
BioLink,MBProteinPush,1,92958d18-ec7c-44a8-a6c9-e05ef5e1ab65,Omega 3,2025-06-22,1,133.76
BioLink,GritzoKidsRun,1,42bf18d2-2a17-479a-a7a7-988657166f35,Omega 3,2025-03-10,1,96.18
PromoCode,HKFitBlast,1,2fc52298-53ef-4cdf-aa7e-c9acae372e39,Creatine,2025-05-04,1,114.9
SwipeUp,HKFitBlast,1,eea21c48-fd48-4505-b8f0-9270567fd2e9,Omega 3,2025-04-28,1,200.32
PromoCode,HKFitBlast,1,639a851f-57e5-4468-b1ed-1e4ae9f8e115,Multivitamin,2025-03-21,1,272.53
SwipeUp,HKFitBlast,1,f2314c7d-6755-42d4-abfe-d52a935046f4,Whey Protein,2025-05-11,1,304.7
BioLink,HKFitBlast,1,57e4267e-38e6-4704-b1d1-2755de4b2801,Multivitamin,2025-05-04,1,111.04
SwipeUp,HKFitBlast,1,1a2b2339-5ebb-487b-afba-5ddcc81c597a,Omega 3,2025-03-28,1,180.03
PromoCode,MBProteinPush,1,1b309e97-8125-4edb-b088-4735fdce4f12,Multivitamin,2025-05-07,1,103.23
SwipeUp,HKFitBlast,1,06919b1d-5da5-4873-9e85-f3646426f2e5,Omega 3,2025-06-24,1,80.97
SwipeUp,MBProteinPush,1,f4cd6362-434a-4842-84d8-ec6a7d5887a5,Whey Protein,2025-04-16,1,269.29
PromoCode,HKFitBlast,1,04007c5d-530a-442a-8f05-f94ed9a19ca8,Omega 3,2025-05-13,1,177.96
PromoCode,HKFitBlast,1,ae1b3c1a-c5e3-4a4e-bcde-6371c1886c58,Whey Protein,2025-04-04,1,117.65
